TrainNum,Kind,Destination,Cars,CTrainNum,CKind,CSta,DepSta,DepTime,s53d,s52a,s52d,s51d,s50d,s49d,s48d,s34d,s33ay,s33d,s32d,s31d,s30d,s29ah,s47d,s29az,s29d,s28d,s27d,s26d,s25d,s24a,s24d,s23ah,s46d,s23az,s23d,s22d,s21d,s20d,s19d,s18ah,s45d,s44d,s43d,s42d,s41a,s41d,s40d,s39d,s38d,s37d,s36d,s35d,s18as,s18d,s17d,s16d,s15d,s14a,s14d,s13d,s12d,s11d,s10d,s9d,s8a,s8d,s7d,s6d,s5d,s4a,s4dh,s4dz,s3d,s2d,s0a,s1a,Term,Info
"列車番号",9,"行き先",,,,,53,"高尾山口","高尾山口","高尾","","狭間","めじろ台","山田","京王片倉","京王八王子","北野","","長沼","平山城址公園","南平","高幡不動","多摩動物公園","高幡不動","高幡不動","百草園","聖蹟桜ヶ丘","中河原","分倍河原","府中","","東府中","府中競馬正門前","東府中","東府中","多磨霊園","武蔵野台","飛田給","西調布","調布","橋本","多摩境","南大沢","京王堀之内","京王多摩センター","","京王永山","若葉台","稲城","京王よみうりランド","京王稲田堤","京王多摩川","調布","","布田","国領","柴崎","つつじヶ丘","","仙川","千歳烏山","芦花公園","八幡山","上北沢","桜上水","","下高井戸","明大前","代田橋","笹塚",,"","幡ヶ谷","初台","新線新宿","新宿","終着","備考"
5600,0,"新線新宿",,,,,8,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,439,441,443,444,,445,446,448,450,,,
5500,0,"新線新宿",,,,,14,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,453,455,457,459,500,501,502,504,505,507,508,,509,510,512,514,,,
5200,0,"新宿",,,,,29,439,,,,,,,,,,,,,,,,,439,441,443,445,447,449,450,451,∥,∥,452,453,454,456,458,459,∥,∥,∥,∥,∥,∥,∥,∥,∥,∥,∥,∥,∥,500,502,503,505,507,509,510,512,514,518,519,520,521,523,525,526,527,528,,∥,∥,∥,532,,
0002,5,"新宿",,,,,34,442,,,,,,,,442,444,444,レ,レ,レ,450,∥,∥,450,レ,454,レ,457,459,459,レ,∥,∥,レ,レ,レ,レ,レ,504,∥,∥,∥,∥,∥,∥,∥,∥,∥,∥,∥,∥,∥,506,レ,レ,レ,レ,レ,レ,レ,レ,レ,レ,レ,レ,レ,515,レ,レ,レ,,∥,∥,∥,520,,
5602,0,"本八幡",,,,,8,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,525,527,528,529,,530,531,533,536,∥,"本八幡616",
4700,2,"新宿",,,,,45,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,440,442,445,447,447,449,452,455,457,459,500,503,508,レ,レ,レ,511,511,513,515,レ,レ,レ,518,519,レ,522,レ,523,524,,∥,∥,∥,529,,
5700,0,"新宿",,,,,39,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,504,506,508,509,512,513,514,516,517,519,520,522,524,525,527,528,530,533,535,538,539,540,541,,∥,∥,∥,545,,
6100,0,"北野",,,,,53,506,506,508,509,510,512,514,516,∥,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,0,"新宿",,,,,33,440,,,,,,,,,,440,441,443,445,448,∥,∥,458,500,502,504,506,508,508,510,∥,∥,510,512,513,515,516,518,∥,∥,∥,∥,∥,∥,∥,∥,∥,∥,∥,∥,∥,520,521,523,524,526,533,535,537,538,540,541,543,544,546,549,551,552,553,,∥,∥,∥,557,,
