name,OneLetter,Lat,Lng,Adress,Kind,L1ud,L1dir,L1name,L1info,L2ud,L2dir,L2name,L2info,L3ud,L3dir,L3name,L3info
新線新宿,ｼﾝ,35.690163,139.699187,,5,D,,下り,明大前・調布・京王多摩センター・橋本・京王八王子・高尾山口方面,,,,,,,,
新宿,新,35.690163,139.699187,,6,D,,下り,明大前・調布・京王多摩センター・橋本・京王八王子・高尾山口方面,,,,,,,,
初台,初,35.68123,139.686354,,3,U,,上り,新線新宿・都営新宿線方面,D,,下り,笹塚・明大前・調布・橋本・京王八王子・高尾山口方面,,,,
幡ヶ谷,幡,35.677061,139.676183,,3,U,,上り,新線新宿・都営新宿線方面,D,,下り,笹塚・明大前・調布・橋本・京王八王子・高尾山口方面,,,,
笹塚,笹,35.673758,139.667251,,4,U,h,本線上り,新宿行,U,z,京王新線,幡ヶ谷・初台・新線新宿・都営新宿線方面,D,,本線下り,明大前・調布・京王多摩センター・橋本・京王八王子・高尾山口方面
代田橋,代,35.671092,139.659413,,0,U,,上り,笹塚・新宿・都営新宿線方面,D,,下り,調布・京王多摩センター・橋本・京王八王子・高尾山口方面,,,,
明大前,明,35.668758,139.650352,,5,U,,上り,笹塚・新宿・都営新宿線方面,D,,下り,調布・京王多摩センター・橋本・京王八王子・高尾山口方面,,,,
下高井戸,下,35.66615,139.641372,,1,U,,上り,明大前・笹塚・新宿・都営新宿線方面,D,,下り,調布・京王多摩センター・橋本・京王八王子・高尾山口方面,,,,
桜上水,桜,35.66768,139.63129,,3,U,,上り,明大前・笹塚・新宿・都営新宿線方面,D,,下り,調布・京王多摩センター・橋本・京王八王子・高尾山口方面,,,,
上北沢,上,35.668857,139.62329,,0,U,,上り,明大前・笹塚・新宿・都営新宿線方面,D,,下り,調布・京王多摩センター・橋本・京王八王子・高尾山口方面,,,,
八幡山,八,35.669982,139.614927,,1,U,,上り,明大前・笹塚・新宿・都営新宿線方面,D,,下り,調布・京王多摩センター・橋本・京王八王子・高尾山口方面,,,,
芦花公園,芦,35.670479,139.608247,,0,U,,上り,明大前・笹塚・新宿・都営新宿線方面,D,,下り,調布・京王多摩センター・橋本・京王八王子・高尾山口方面,,,,
千歳烏山,千,35.667921,139.60067,,4,U,,上り,明大前・笹塚・新宿・都営新宿線方面,D,,下り,調布・京王多摩センター・橋本・京王八王子・高尾山口方面,,,,
仙川,仙,35.662257,139.584908,,2,U,,上り,明大前・笹塚・新宿・都営新宿線方面,D,,下り,調布・京王多摩センター・橋本・京王八王子・高尾山口方面,,,,
